feature,importance,config
lbp-3D-m2_firstorder_Median,0.13610074750449547,radiomics3d_plus_simple
wavelet-LLH_glcm_MCC,0.1344876297909386,radiomics3d_plus_simple
lbp-3D-m2_firstorder_Maximum,0.12907922437840513,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.1252443014951741,radiomics3d_plus_simple
wavelet-LLH_glszm_SizeZoneNonUniformity,0.12445739210754855,radiomics3d_plus_simple
lbp-3D-k_firstorder_Median,0.11892873967603951,radiomics3d_plus_simple
gradient_glszm_GrayLevelNonUniformity,0.11603656044133268,radiomics3d_plus_simple
lbp-3D-k_gldm_LargeDependenceLowGrayLevelEmphasis,0.11539767944860536,radiomics3d_plus_simple
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.11194999340831097,radiomics3d_plus_simple
lbp-3D-k_glcm_ClusterShade,0.11192386916949623,radiomics3d_plus_simple
wavelet-HHH_firstorder_Variance,0.10608359710791102,radiomics3d_plus_simple
wavelet-HLL_glcm_ClusterShade,0.10397864594069586,radiomics3d_plus_simple
wavelet-LHH_glcm_JointEntropy,0.10369945964017267,radiomics3d_plus_simple
lbp-3D-m2_gldm_LargeDependenceEmphasis,0.1029617695741943,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_firstorder_Maximum,0.10015537767968172,radiomics3d_plus_simple
logarithm_glszm_SizeZoneNonUniformityNormalized,0.09884006739910647,radiomics3d_plus_simple
square_glszm_LargeAreaHighGrayLevelEmphasis,0.09707233745446042,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_firstorder_Skewness,0.09613826922847181,radiomics3d_plus_simple
wavelet-HLH_glszm_LargeAreaEmphasis,0.09563049173721531,radiomics3d_plus_simple
lbp-3D-k_firstorder_Range,0.09532568272056927,radiomics3d_plus_simple
original_glszm_SizeZoneNonUniformity,0.0951479953553057,radiomics3d_plus_simple
square_firstorder_RobustMeanAbsoluteDeviation,0.09415233290140083,radiomics3d_plus_simple
square_glrlm_RunLengthNonUniformity,0.09386390524803855,radiomics3d_plus_simple
wavelet-LLL_glcm_DifferenceEntropy,0.09248576203223373,radiomics3d_plus_simple
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.09239607398165323,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_MCC,0.09092933821927605,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_gldm_LowGrayLevelEmphasis,0.08866805529863207,radiomics3d_plus_simple
lbp-3D-m1_gldm_LargeDependenceLowGrayLevelEmphasis,0.08837070872034652,radiomics3d_plus_simple
lbp-3D-m2_glrlm_ShortRunHighGrayLevelEmphasis,0.08649786656187204,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.08315991888074431,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_firstorder_Mean,0.08161407221835072,radiomics3d_plus_simple
original_firstorder_Maximum,0.08147443454390298,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.08135016104133268,radiomics3d_plus_simple
exponential_glcm_Idmn,0.08013272249762943,radiomics3d_plus_simple
wavelet-HLH_glszm_ZonePercentage,0.07869505479058428,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,0.07679228970669841,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,0.07186979653313509,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.06260297585748806,radiomics3d_plus_simple
lbp-3D-k_glcm_ClusterProminence,0.06213947649987367,radiomics3d_plus_simple
gradient_gldm_DependenceNonUniformity,0.0608827188363384,radiomics3d_plus_simple
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.0585603611087031,radiomics3d_plus_simple
wavelet-HHH_glcm_JointEnergy,0.058315835891254435,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_MaximumProbability,0.05759946990446673,radiomics3d_plus_simple
wavelet-HHH_firstorder_Kurtosis,0.05560743896835545,radiomics3d_plus_simple
wavelet-HHL_glszm_GrayLevelNonUniformity,0.0554036770099998,radiomics3d_plus_simple
logarithm_glcm_MCC,0.05433097609858951,radiomics3d_plus_simple
logarithm_gldm_GrayLevelNonUniformity,0.05380305877800198,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_LowGrayLevelEmphasis,0.052136612162393764,radiomics3d_plus_simple
wavelet-LLH_firstorder_Entropy,0.05170904280195015,radiomics3d_plus_simple
wavelet-HLL_glcm_MCC,0.05139545095353368,radiomics3d_plus_simple
square_glszm_SmallAreaLowGrayLevelEmphasis,0.05056245510353798,radiomics3d_plus_simple
lbp-3D-m2_firstorder_Kurtosis,0.04700507906162203,radiomics3d_plus_simple
original_glszm_LargeAreaEmphasis,0.04601369466027168,radiomics3d_plus_simple
wavelet-LLL_glcm_SumEntropy,0.042975318112537776,radiomics3d_plus_simple
wavelet-HLL_firstorder_Kurtosis,0.039116680026189524,radiomics3d_plus_simple
wavelet-HHH_glcm_MCC,0.034340215924128,radiomics3d_plus_simple
gradient_glcm_Correlation,0.033560783980745856,radiomics3d_plus_simple
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,0.033386459814842305,radiomics3d_plus_simple
squareroot_glrlm_LongRunLowGrayLevelEmphasis,0.0327272748786431,radiomics3d_plus_simple
wavelet-LLH_firstorder_Range,0.03063983933667183,radiomics3d_plus_simple
wavelet-HLH_glcm_Imc2,0.029908435489426705,radiomics3d_plus_simple
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.028753946707234575,radiomics3d_plus_simple
gradient_glszm_LowGrayLevelZoneEmphasis,0.027565936783576633,radiomics3d_plus_simple
lbp-3D-m2_glcm_Imc2,0.02395309972268322,radiomics3d_plus_simple
lbp-3D-k_gldm_SmallDependenceLowGrayLevelEmphasis,0.023576398902223284,radiomics3d_plus_simple
gradient_glszm_GrayLevelNonUniformityNormalized,0.020326265442443224,radiomics3d_plus_simple
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,0.01959128452646228,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.01879356429404053,radiomics3d_plus_simple
lbp-3D-m2_glcm_InverseVariance,0.016498085407016843,radiomics3d_plus_simple
lbp-3D-k_glrlm_RunEntropy,0.015274867941126695,radiomics3d_plus_simple
gradient_glcm_JointEnergy,0.010511534561886261,radiomics3d_plus_simple
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.010246617627091854,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.00956017186146281,radiomics3d_plus_simple
delta_peak_si_norm,0.009079474905269485,radiomics3d_plus_simple
wavelet-LLL_glcm_Idn,0.009051943089700844,radiomics3d_plus_simple
lbp-3D-m1_gldm_DependenceNonUniformity,0.008987104503660458,radiomics3d_plus_simple
square_glcm_Idn,0.007420620961979599,radiomics3d_plus_simple
gradient_gldm_DependenceEntropy,0.005004474640231788,radiomics3d_plus_simple
exponential_gldm_DependenceNonUniformityNormalized,0.003655984681797704,radiomics3d_plus_simple
exponential_firstorder_10Percentile,0.0036448081805850125,radiomics3d_plus_simple
lbp-3D-m2_firstorder_Range,0.0028629084797546648,radiomics3d_plus_simple
original_glcm_Idn,0.0027705010059367497,radiomics3d_plus_simple
wavelet-LHH_gldm_LargeDependenceEmphasis,0.002626620132188835,radiomics3d_plus_simple
wavelet-HLH_firstorder_RootMeanSquared,0.0017259887827209754,radiomics3d_plus_simple
lbp-3D-m2_glszm_HighGrayLevelZoneEmphasis,0.001267582185392997,radiomics3d_plus_simple
wavelet-HLH_firstorder_Kurtosis,0.0010407543099085598,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_firstorder_Skewness,0.00040461477710230923,radiomics3d_plus_simple
square_glcm_DifferenceVariance,0.0,radiomics3d_plus_simple
wavelet-HLH_firstorder_10Percentile,0.0,radiomics3d_plus_simple
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,0.0,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0,radiomics3d_plus_simple
wavelet-LHL_glcm_Imc2,0.0,radiomics3d_plus_simple
lbp-3D-m2_glszm_ZonePercentage,0.0,radiomics3d_plus_simple
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.0,radiomics3d_plus_simple
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0,radiomics3d_plus_simple
gradient_firstorder_Median,0.0,radiomics3d_plus_simple
square_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
wavelet-HLL_firstorder_Median,0.0,radiomics3d_plus_simple
wavelet-LHH_glszm_LargeAreaEmphasis,0.0,radiomics3d_plus_simple
