feature,slope_vs_MeshVolume,intercept,train_r2
lbp-3D-m2_glrlm_ShortRunHighGrayLevelEmphasis,-5.894138625382178e-05,8.689111903130541,0.1235039071586318
original_firstorder_Skewness,5.932409840970508e-06,0.9228466179060903,0.0012972255341763272
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,3.364651359079506e-06,0.25739563113567937,0.0004184389354036089
wavelet-LLL_gldm_LargeDependenceEmphasis,5.361082407776426e-05,1.4948211669489249,0.10898698655933015
lbp-3D-k_glszm_ZoneEntropy,-8.670625015644656e-06,2.2325835647855055,0.0029020732103529623
original_glcm_DifferenceEntropy,-2.4298409211499325e-05,4.692425291784386,0.025217879393075626
log-sigma-3-0-mm-3D_firstorder_Skewness,1.5310490717187558e-05,0.10686547754615952,0.010950624250734786
log-sigma-5-0-mm-3D_firstorder_Kurtosis,-1.7279939500531908e-05,2.8417529816511453,0.014513124275889355
lbp-3D-m1_glcm_ClusterShade,4.880884127130218e-06,-0.10467582257585403,0.001191778741357119
wavelet-LLL_glcm_JointEntropy,0.00012577259422083198,7.493394151154275,0.80006140187128
