feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,0.019751746434917013,0.01883645128306308,0.017345852178324125,0.01738475034099281,0.003479821208094083,0.04589954487919894,0.014648763567975592,1.1744616969252788,22,glszm,47
gradient_firstorder_10Percentile,0.01968471859622058,0.019742876848026215,0.005915274717649432,0.01664437763369217,0.001897692140928679,0.04178150798756152,0.03218474050127254,0.5360076796489468,57,firstorder,48
log-sigma-3-0-mm-3D_glcm_InverseVariance,0.018931035382012067,0.019382590993482503,0.04416781773952571,0.003620078271439503,0.014843839336991045,0.018519885353825007,0.013503556208274701,0.8023824415285749,39,glcm,49
log-sigma-3-0-mm-3D_firstorder_Median,0.018667099452852148,0.01896547161551493,0.018131097952647064,0.01928967644083354,0.009246974238650929,0.016947782179889317,0.02971996645224248,0.5602723371712879,54,firstorder,50
lbp-3D-m2_firstorder_Maximum,0.01862674612702551,0.01771155624601924,0.02828415669589231,0.018462924737844062,0.003125533071502713,0.014950226053238768,0.02831089007664944,0.5740198091034052,50,firstorder,51
lbp-3D-m1_glrlm_RunVariance,0.01862004586699686,0.018542421119055193,0.03867180151494676,0.004274380651478898,0.029486389898619972,0.01281114194230895,0.007856515327630325,0.5226610387708153,58,glrlm,52
exponential_gldm_DependenceVariance,0.018220095921488797,0.017063923894624106,0.017812614994388375,0.013108897038014536,0.015543174982374215,0.0036247607430674412,0.0410110318496,0.8607550094853983,35,gldm,53
lbp-3D-k_firstorder_Range,0.018144790082543525,0.01859376983057472,0.02297585955788321,0.01576553108676049,0.006626947434759528,0.03217028807942869,0.01318532425388575,0.42541064726272393,64,firstorder,54
lbp-3D-k_glrlm_RunEntropy,0.017890760984975225,0.01819399826447773,0.008809425834133928,0.01435392780191869,0.01835773195669177,0.007397721355364692,0.04053499797676486,0.765883748319911,40,glrlm,55
gradient_glcm_Idn,0.017575543142535635,0.017711325668340466,0.018062535017332574,0.00433210697707031,0.02473977132472598,0.022585968331988986,0.01815733406155836,0.38332354960434906,74,glcm,56
wavelet-LHL_firstorder_Median,0.017281568521492364,0.01806318777347379,0.03612379192782165,0.006727976031876768,0.011788221076775572,0.012084038895337849,0.019683814675650287,0.569562513389544,51,firstorder,57
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.017180321256361937,0.017176519977492578,0.011816791667762254,0.03114267440157395,0.005316800128005624,0.011402281052554924,0.026223059031910325,0.33136141355634136,86,glcm,58
wavelet-HLH_glcm_Imc2,0.01696558061729418,0.016690783940196387,0.005081575066100811,0.004736237478019065,0.019055999059525312,0.013776764903417494,0.04217732657940788,0.9854401305055477,31,glcm,59
log-sigma-4-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.016613325603650357,0.01748417357829375,0.006907735362549762,0.03771513289245978,0.0012558131204370427,0.010032868934506643,0.027155077708299245,0.4712728504293445,60,gldm,60
gradient_glrlm_ShortRunLowGrayLevelEmphasis,0.01640409504153039,0.016542581625447365,0.017045044382311404,0.020029014452125123,0.0025813879672891595,0.02374283935494809,0.018622189050979347,0.35476491257269804,77,glrlm,61
log-sigma-5-0-mm-3D_firstorder_Mean,0.015721391101942685,0.015065627253493962,0.026164443530838605,0.013139034224018208,0.005241460554522335,0.02059299287757343,0.013469024322761257,0.4484958815458865,61,firstorder,62
gradient_glszm_LargeAreaLowGrayLevelEmphasis,0.015715263426887175,0.01589792370307826,0.012528806013605478,0.0015200626819667714,0.021617662068727783,0.017334130678113555,0.02557565569202231,0.4132182872401238,65,glszm,63
lbp-3D-m1_firstorder_Kurtosis,0.015210710195582788,0.015232702541206903,0.01555488304457886,0.021062042431698808,0.0068954222536408635,0.014448179649365386,0.01809302359863078,0.33710988508619544,84,firstorder,64
lbp-3D-m2_glrlm_LongRunLowGrayLevelEmphasis,0.015154337199456988,0.01445350617210429,0.014029277305172881,0.011025456753274473,0.012637279736961953,0.0083102401324124,0.02976943206946335,0.5571471373625297,55,glrlm,65
square_glszm_SmallAreaLowGrayLevelEmphasis,0.014743937190766386,0.01471071512469942,0.035978629689606766,0.00836170363070882,0.007828098783008046,0.015746575728027377,0.0058046781224821336,0.4311787769662799,63,glszm,66
wavelet-LLL_glcm_MCC,0.014415349337735004,0.014454279882275692,0.02122666516062112,0.004454681834745606,0.015349737556765245,0.0205350129864798,0.010510649150061885,0.39766587969349954,69,glcm,67
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.014413783812557784,0.013908571714202006,0.012362076893140565,0.023672382638254448,0.005373575924564012,0.018587942307716064,0.01207294129911523,0.6247469186130915,47,firstorder,68
lbp-3D-m2_firstorder_Skewness,0.014311547190789415,0.013889512902137328,0.019349926072416333,0.014301322177862598,0.006136342566131272,0.019887625470988705,0.011882519666549195,0.3846168074774056,72,firstorder,69
wavelet-LLH_glcm_MCC,0.014220424685611568,0.014765623955184614,0.008597589396384069,0.015603984520564681,0.008348533431202124,0.003061948720904923,0.03549006735900103,0.5633240249835898,53,glcm,70
wavelet-LLH_glcm_ClusterProminence,0.014023978361011272,0.012799277429142785,0.0046796390187326285,0.013376807830236748,0.017311021743647056,0.007577963137555223,0.027174460074884513,0.3752096981098317,76,glcm,71
lbp-3D-m1_gldm_LargeDependenceLowGrayLevelEmphasis,0.014019177963634163,0.01417941929014657,0.016915426698618036,0.01697840392028216,0.003325929933472378,0.014732417007786882,0.018143712258013027,0.41123879815583664,66,gldm,72
log-sigma-4-0-mm-3D_glcm_ClusterShade,0.013534255086585803,0.013359188035208787,0.006026349629207931,0.03295391066159673,0.004449142447256296,0.010826303635078917,0.013415569059788444,0.38862040004378723,70,glcm,73
lbp-3D-m2_glcm_MaximumProbability,0.013416438742884274,0.013442966592053497,0.018747615655483833,0.019373130250174862,0.013066479907775489,0.0009198986571922543,0.01497506924379514,0.21455571638116822,112,glcm,74
exponential_glcm_ClusterProminence,0.013114309642679628,0.013119313040526912,0.018846345694702175,0.013418113315056771,0.014219412619798082,0.01850488909748848,0.0005827874863537778,0.2769646116336169,98,glcm,75
lbp-3D-m2_gldm_LargeDependenceEmphasis,0.012489527385442435,0.012424205586542674,0.02339872932887102,0.005995780231585366,0.017419099518280776,0.004102068276512928,0.011531959571961778,0.34574535538427326,79,gldm,76
