feature,feature_class,n,spearman_rho_vs_grade,spearman_p,abs_rho,bonferroni_alpha,significant_bonferroni,importance,importance_rank
wavelet-HLL_glcm_JointEntropy,glcm,630,-0.444886396207675,5.963178889431305e-32,0.444886396207675,9.671179883945843e-05,True,0.0,303
original_firstorder_Minimum,firstorder,630,-0.44462695584918444,6.530672751415525e-32,0.44462695584918444,9.671179883945843e-05,True,0.0,362
square_glcm_Correlation,glcm,630,-0.4376397878493062,7.336924188374112e-31,0.4376397878493062,9.671179883945843e-05,True,1.5102533617338438,12
log-sigma-3-0-mm-3D_glszm_ZonePercentage,glszm,630,-0.435816174463509,1.3668043696140061e-30,0.435816174463509,9.671179883945843e-05,True,0.0,412
square_glszm_GrayLevelNonUniformity,glszm,630,0.43571252246051556,1.4158410613808598e-30,0.43571252246051556,9.671179883945843e-05,True,0.0,314
wavelet-HLL_glcm_MaximumProbability,glcm,630,0.4350803248804558,1.7549630911622514e-30,0.4350803248804558,9.671179883945843e-05,True,0.0,233
log-sigma-4-0-mm-3D_glcm_Idn,glcm,630,-0.4346755667511646,2.013119039976824e-30,0.4346755667511646,9.671179883945843e-05,True,0.0,246
wavelet-LHH_firstorder_Maximum,firstorder,630,0.43087241894783324,7.243972468688954e-30,0.43087241894783324,9.671179883945843e-05,True,0.1098402124445839,153
wavelet-LLL_gldm_LargeDependenceEmphasis,gldm,630,0.4297348940276549,1.0591110570537118e-29,0.4297348940276549,9.671179883945843e-05,True,0.12233776293176533,144
lbp-3D-m2_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,630,0.429439929100987,1.1684637407021115e-29,0.429439929100987,9.671179883945843e-05,True,0.0,307
log-sigma-5-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,glszm,630,0.4284041786377331,1.6486499099531574e-29,0.4284041786377331,9.671179883945843e-05,True,0.012933765119414232,211
exponential_glszm_SmallAreaEmphasis,glszm,630,-0.42824936723957785,1.7355271294359695e-29,0.42824936723957785,9.671179883945843e-05,True,0.0,379
square_glcm_Idn,glcm,630,-0.42767228584848693,2.1011988902320716e-29,0.42767228584848693,9.671179883945843e-05,True,0.021207512380363353,206
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,glszm,630,0.42718150942516675,2.4714881211308495e-29,0.42718150942516675,9.671179883945843e-05,True,0.0,506
squareroot_glrlm_LongRunLowGrayLevelEmphasis,glrlm,630,0.4256098091530321,4.1488511275068535e-29,0.4256098091530321,9.671179883945843e-05,True,0.021013038119718726,207
original_shape_Flatness,shape,630,-0.4243688894032749,6.233261790130334e-29,0.4243688894032749,9.671179883945843e-05,True,3.555861898259201,2
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,glrlm,630,-0.42362324660181144,7.954085220056272e-29,0.42362324660181144,9.671179883945843e-05,True,0.10219869471465719,157
wavelet-HLH_firstorder_Range,firstorder,630,0.42342207411959076,8.4939499624641e-29,0.42342207411959076,9.671179883945843e-05,True,0.0,444
log-sigma-5-0-mm-3D_glszm_ZoneEntropy,glszm,630,-0.42325332854003966,8.974645148876422e-29,0.42325332854003966,9.671179883945843e-05,True,0.0,343
lbp-3D-m1_glcm_Imc2,glcm,630,-0.4217821777813285,1.4483555162679526e-28,0.4217821777813285,9.671179883945843e-05,True,0.03659179171125427,196
original_glcm_Idn,glcm,630,0.41917719146307136,3.3606496474699075e-28,0.41917719146307136,9.671179883945843e-05,True,0.14889105185601384,131
square_gldm_DependenceNonUniformityNormalized,gldm,630,0.4179408969459431,4.997944221795338e-28,0.4179408969459431,9.671179883945843e-05,True,0.11443785164878613,149
wavelet-LLL_glcm_DifferenceEntropy,glcm,630,-0.41721372993786116,6.307265787804046e-28,0.41721372993786116,9.671179883945843e-05,True,0.35468069042493783,78
wavelet-HHH_firstorder_Range,firstorder,630,0.4157711098260724,9.990386879983521e-28,0.4157711098260724,9.671179883945843e-05,True,0.0,438
wavelet-HLL_firstorder_Entropy,firstorder,630,-0.41550953281120445,1.0856647501891064e-27,0.41550953281120445,9.671179883945843e-05,True,0.0,363
wavelet-HLH_glcm_MCC,glcm,630,0.41531743483430444,1.1539755470950994e-27,0.41531743483430444,9.671179883945843e-05,True,0.07504755509776916,175
lbp-3D-k_glrlm_RunEntropy,glrlm,630,-0.41439477633625244,1.546119843670921e-27,0.41439477633625244,9.671179883945843e-05,True,0.765883748319911,40
wavelet-LHH_firstorder_Range,firstorder,630,0.4120294977264117,3.259367694888086e-27,0.4120294977264117,9.671179883945843e-05,True,0.0,238
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,630,0.41101591821521566,4.478564128566405e-27,0.41101591821521566,9.671179883945843e-05,True,0.06477439931053404,180
log-sigma-4-0-mm-3D_gldm_DependenceNonUniformityNormalized,gldm,630,-0.4110156165696094,4.4789869593545755e-27,0.4110156165696094,9.671179883945843e-05,True,0.0,226
square_glszm_SmallAreaLowGrayLevelEmphasis,glszm,630,0.4109125543208146,4.625790247146275e-27,0.4109125543208146,9.671179883945843e-05,True,0.4311787769662799,63
exponential_gldm_DependenceVariance,gldm,630,-0.4082171497320904,1.0709363734729146e-26,0.4082171497320904,9.671179883945843e-05,True,0.8607550094853983,35
square_glszm_LargeAreaHighGrayLevelEmphasis,glszm,630,0.40807261121243915,1.1200052617286474e-26,0.40807261121243915,9.671179883945843e-05,True,0.0,456
exponential_glrlm_RunVariance,glrlm,630,0.4075008168286989,1.336891936362822e-26,0.4075008168286989,9.671179883945843e-05,True,0.03500382695718076,198
wavelet-HLH_glszm_SizeZoneNonUniformity,glszm,630,0.40608350211423133,2.0701885175822395e-26,0.40608350211423133,9.671179883945843e-05,True,0.0,345
